seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime
13145,727702,7,45338281,67',Vidar Ari Jonsson (Hamarkameratene) Substitution at 67',2025-06-01 04:59:56
13145,727702,8,45338284,71',Tore Andre Soras (Hamarkameratene) Goal at 71',2025-06-01 04:59:56
13145,727702,9,45338285,73',Moses Mawa (Hamarkameratene) Goal at 73',2025-06-01 04:59:56
13145,727702,10,45338293,82',Julian Gonstad (Hamarkameratene) Substitution at 82',2025-06-01 04:59:56
13145,727702,11,45338296,82',Ole Kristian Enersen (Stromsgodset) Substitution at 82',2025-06-01 04:59:56
13145,727702,12,45338297,82',Logi Tomasson (Stromsgodset) Substitution at 82',2025-06-01 04:59:56
13145,727702,13,45338298,82',Samuel Silalahi (Stromsgodset) Substitution at 82',2025-06-01 04:59:56
13145,727702,14,45338299,86',Aksel Potur (Hamarkameratene) Substitution at 86',2025-06-01 04:59:56
13145,727702,15,45338301,87',Olav Dobloug Mengshoel (Hamarkameratene) Substitution at 87',2025-06-01 04:59:56
13145,727703,0,45338442,21',David Edvardsson (Tromso) Yellow Card at 21',2025-06-01 04:59:56
13145,727703,1,45338469,32',Håkon Sjåtil (Valerenga) Substitution at 32',2025-06-01 04:59:56
13145,727703,2,45338619,52',David Edvardsson (Tromso) Goal at 52',2025-06-01 04:59:56
13145,727703,3,45338622,54',Vinícius Nogueira (Valerenga) Yellow Card at 54',2025-06-01 04:59:56
13145,727703,4,45338645,63',Fidele Brice Ambina (Valerenga) Yellow Card at 63',2025-06-01 04:59:56
13145,727703,5,45338646,63',Mees Rijks (Valerenga) Substitution at 63',2025-06-01 04:59:56
13145,727703,6,45338647,64',Stian Thorstensen (Valerenga) Substitution at 64',2025-06-01 04:59:56
13145,727703,7,45338657,66',Vetle Skjaervik (Tromso) Yellow Card at 66',2025-06-01 04:59:56
13145,727703,8,45338664,67',Elias Sörensen (Valerenga) Goal at 67',2025-06-01 04:59:56
13145,727703,9,45338669,68',Vegard Østraat Erlien (Tromso) Goal at 68',2025-06-01 04:59:56
13145,727703,10,45338682,69',Ieltsin Camões (Tromso) Substitution at 69',2025-06-01 04:59:56
13145,727703,11,45338683,69',Kent-Are Antonsen (Tromso) Substitution at 69',2025-06-01 04:59:56
13145,727703,12,45338681,71',Abubacarr Kinteh (Tromso) Yellow Card at 71',2025-06-01 04:59:56
13145,727703,13,45338705,77',Yaw Paintsil (Tromso) Substitution at 77',2025-06-01 04:59:56
13145,727703,14,45338741,90',Anders Jenssen (Tromso) Substitution at 90',2025-06-01 04:59:56
13145,727703,15,45338744,90',Sigurd Jacobsen Prestmo (Tromso) Substitution at 90',2025-06-01 04:59:56
13145,727704,0,45343761,21',Rocco Robert Shein (Fredrikstad) Yellow Card at 21',2025-06-02 04:55:28
13145,727704,1,45343770,45',Oskar Øhlenschlæger (Fredrikstad) Yellow Card at 45',2025-06-02 04:55:28
13145,727704,2,45343802,57',Peter Reinhardsen (Sarpsborg FK) Substitution at 57',2025-06-02 04:55:28
13145,727704,3,45343812,69',Sondre Sorlokk (Fredrikstad) Substitution at 69',2025-06-02 04:55:28
13145,727704,4,45343822,72',Menno Koch (Sarpsborg FK) Yellow Card at 72',2025-06-02 04:55:28
13145,727704,5,45343823,73',Victor Halvorsen (Sarpsborg FK) Substitution at 73',2025-06-02 04:55:28
13145,727704,6,45343839,78',Patrick Metcalfe (Fredrikstad) Substitution at 78',2025-06-02 04:55:28
13145,727704,7,45343841,79',Sondre Sorlokk (Fredrikstad) Goal at 79',2025-06-02 04:55:28
13145,727704,8,45343843,87',Benjamin Thoresen Faraas (Fredrikstad) Substitution at 87',2025-06-02 04:55:28
13145,727704,9,45343848,87',Simen Rafn (Fredrikstad) Substitution at 87',2025-06-02 04:55:28
13145,727704,10,45343856,88',Nikolai Skuseth (Sarpsborg FK) Substitution at 88',2025-06-02 04:55:28
