Rn,seasonType,leagueId,eventId,date,venueId,attendance,homeTeamId,awayTeamId,homeTeamWinner,awayTeamWinner,homeTeamScore,awayTeamScore,homeTeamShootoutScore,awayTeamShootoutScore,statusId,updateTime,source_file,table_type,team_relation,processed_team_id,year,last_matchDateTime,teamRank,teamId,gamesPlayed,wins,ties,losses,points,gf,ga,gd,deductions,clean_sheet,form,next_opponent,next_homeAway,next_matchDateTime,timeStamp,seasonYear,midsizeName,teamName,athleteId,playerDisplayName,jersey,position,teamOrder,possessionPct,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,282680.0,Iñaki Peña,13.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,358303.0,Ander Astralaga,26.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,368359.0,Diego Kochen,31.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,377529.0,Áron Yaakobishvili,40.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,128714.0,Eric García,24.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,165562.0,Iñigo Martínez,5.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,186430.0,Andreas Christensen,15.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,231692.0,Jules Koundé,23.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,270821.0,Ronald Araújo,4.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,300377.0,Álvaro Cortés,43.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,312015.0,Gerard Martín,35.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12655,,,,,,,,,,,,,,,,teamroster.csv,unknown,,83,,,,83.0,,,,,,,,,,,,,,,2025-05-05 04:51:56,2024.0,ESP.1,Barcelona,323703.0,Alejandro Balde,3.0,Defender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
